## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
 -156.259, 45.2839, -592.627, 614.96, 28.0934, -40.5051, -593.3, 595.357
 138.46, 66.0246, 253.013, 296.447, -101.118, -76.3397, -9.5068, 129.823
 -68.2916, 106.745, -228.763, 261.834, 47.0512, -98.9669, -658.249, 667.587
 -184.401, 15.5826, -538.196, 569.757, 144.661, -8.9015, -101.167, 178.325
 114.834, -23.5138, 29.4368, 126.37, -115.037, 18.1598, 547.567, 560.118
 16.4123, -85.9545, 1516.3, 1518.91, -18.1583, -38.1426, 1541.57, 1542.2
 112.979, -7.22196, -247.665, 272.411, -90.8352, 8.6288, 171.843, 196.211
 71.1327, -103.475, -151.86, 197.65, 12.7795, -51.3252, 0.283402, 53.4851
 -149.285, -131.918, 638.293, 669.227, 156.793, 115.563, 579.763, 611.799
 -105.743, -165.419, -1082.4, 1100.76, 93.6233, 141.964, -1773.38, 1781.84
 -127.191, 47.156, -69.916, 153.452, 115.456, -69.0703, 132.136, 189.454
 -180.496, 52.9014, -202.048, 277.526, 137.225, -42.7549, -170.361, 223.446
 -141.991, -56.949, -842.977, 856.857, 31.7, 20.2467, -48.0239, 61.9507
 -13.4118, -31.8374, -62.6453, 71.8359, -7.31222, 23.2069, 452.776, 453.48
 97.9834, 185.684, 1302.75, 1319.83, -106.67, -144.611, 1110.35, 1125.13
 -14.6601, 118.479, 284.494, 309.225, -10.2134, 23.1916, -104.12, 107.41
 -37.7722, 48.3132, -69.3334, 92.9263, 34.2065, -49.4971, -742.295, 744.925
 35.7364, 100.733, 170.969, 202.854, 4.09373, -83.9004, -56.1402, 102.77
 121.572, 36.0539, -98.7631, 161.448, -122.088, -8.37351, -1071.83, 1078.85
 152.405, 58.6985, -383.428, 417.808, -121.921, -86.1793, -187.94, 244.522
 8.04514, -154.405, 720.529, 737.111, 12.0499, 138.389, 184.402, 232.151
 -123.35, -79.3517, 4.82803, 147.183, 82.82, 51.8519, -367.296, 380.422
 -149.547, 24.1939, -642.198, 660.268, 115.007, -57.9456, -96.7329, 162.008
 45.1261, -99.7125, -951.11, 957.534, -36.4869, 100.53, -87.4003, 139.54
 -19.7665, 166.063, 97.6905, 195.19, 20.3013, -130.444, -7.35983, 134.443
 -102.15, 85.9462, 93.1426, 167.892, 87.4454, -78.2678, -189.429, 224.99
 14.7729, 106.287, 520.277, 531.292, 1.11726, -91.8961, 15.4361, 93.825
 -137.854, 69.0101, 936.224, 948.877, -22.0497, 18.6096, -170.896, 173.534
 37.6532, -114.116, 192.48, 227.189, -32.6524, 96.0636, -118.668, 157.065
 159.241, 80.4546, -10.2852, 179.856, -150.895, -78.573, 59.2798, 181.024
 -148.615, -55.5121, -556.604, 579.499, 101.377, 37.9796, -945.906, 952.239
 -121.302, -110.496, 87.3974, 186.392, 104.608, 61.6896, -132.824, 181.482
 -14.4441, 73.4386, 43.5571, 87.1843, 0.827685, -72.8908, -270.829, 281.154
 104.717, -37.7269, -304.45, 325.696, -86.1037, 10.8552, -2161.22, 2163.02
 141.316, -120.751, 598.192, 627.81, -127.07, 84.3889, 457.245, 482.96
 -123.531, -76.1931, -7.3628, 148.431, 103.851, 61.4866, 505.58, 520.568
 -93.096, -70.9093, -354.668, 373.701, 74.2737, 39.8499, 26.5054, 89.3912
 136.435, 128.676, -48.2136, 194.481, -123.953, -104.696, -135.499, 215.098
 155.931, 50.1399, -609.47, 631.767, -147.381, -37.8095, -171.5, 231.025
 -132.679, 26.2157, -6.49758, 137.968, 128.806, 8.20401, -400.234, 420.931
 -31.1592, -181.664, -822.396, 843.218, 36.4009, 30.6959, -49.2387, 69.7385
 65.2908, -125.672, -646.78, 662.308, -47.1116, 88.3281, -117.949, 155.482
 -4.76334, 44.4595, -261.642, 265.609, -23.3611, -25.4125, 147.977, 152.179
 -65.1312, 50.2121, 1426.03, 1428.45, 15.2667, 35.4317, -86.0886, 94.709
 127.146, -141.713, 556.578, 588.643, -140.191, 117.276, 846.847, 866.896
 -181.735, -34.8284, -769.536, 792.202, 179.224, 40.758, -1490.15, 1501.78
 -72.4476, -46.724, -952.64, 956.614, 44.6798, 5.05268, -50.3497, 67.9507
 -17.7147, -290.818, -405.259, 500.903, 18.4958, 168.722, -126.313, 212.232
 144.775, -43.4763, -284.891, 324.206, -133.439, 32.6978, 3.76372, 138.336
 176.053, 82.8246, 43.4522, 199.638, -153.035, -74.6211, 41.8837, 176.14
 152.512, 113.003, 417.79, 459.341, -64.4887, -58.0929, 222.397, 239.115
 122.397, 23.4474, -1154.06, 1160.89, -31.5149, -42.9331, -25.6715, 59.2297
 -153.039, -8.20013, -1329.67, 1338.61, 148.997, -3.86796, -371.88, 402.096
 131.065, 123.953, -696.482, 720.061, -33.4736, -39.2487, -610.268, 612.569
 61.9147, -127.952, -288.565, 321.811, 34.6303, -32.7582, -36.4234, 61.5426
 -36.2334, -150.073, 133.785, 205.346, 44.6448, 133.311, 314.628, 346.469
 101.368, -127.315, -22.9117, 165.332, -95.0057, 115.557, 209.745, 259.56
